Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Alisson,br BRA,GK,33,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
Dominik Szoboszlai,hu HUN,"MF,DF",24,6,6,540.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1.5,14.0,39.0,26.0,0.17,0.0,0.17,0.17,0.17,0.08,0.17,0.25,0.08,0.25,Matches,Liverpool
Virgil van Dijk,nl NED,DF,34,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,8.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Liverpool
Mohamed Salah,eg EGY,FW,33,6,6,539.0,6.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.7,0.9,0.7,1.7,19.0,20.0,67.0,0.33,0.33,0.67,0.17,0.5,0.28,0.12,0.41,0.15,0.28,Matches,Liverpool
Ibrahima Konaté,fr FRA,DF,26,6,6,507.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.3,0.9,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.16,0.11,0.16,Matches,Liverpool
Milos Kerkez,hu HUN,DF,21,6,6,456.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,7.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,0.04,0.05,Matches,Liverpool
Cody Gakpo,nl NED,"FW,MF",26,6,5,464.0,5.2,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.6,2.3,20.0,18.0,49.0,0.19,0.39,0.58,0.19,0.58,0.14,0.31,0.45,0.14,0.45,Matches,Liverpool
Ryan Gravenberch,nl NED,MF,23,5,5,450.0,5.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.4,0.4,0.6,1.0,15.0,27.0,12.0,0.4,0.2,0.6,0.4,0.6,0.08,0.11,0.19,0.08,0.19,Matches,Liverpool
Florian Wirtz,de GER,"MF,FW",22,6,5,437.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,1.7,15.0,28.0,33.0,0.0,0.0,0.0,0.0,0.0,0.21,0.14,0.35,0.21,0.35,Matches,Liverpool
Hugo Ekitike,fr FRA,FW,23,5,5,365.0,4.1,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.8,1.8,0.3,2.0,6.0,8.0,19.0,0.74,0.25,0.99,0.74,0.99,0.44,0.06,0.5,0.44,0.5,Matches,Liverpool
Alexis Mac Allister,ar ARG,MF,26,5,5,300.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.1,10.0,13.0,8.0,0.0,0.3,0.3,0.0,0.3,0.07,0.25,0.32,0.07,0.32,Matches,Liverpool
Conor Bradley,nir NIR,DF,22,4,2,191.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,11.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Liverpool
Curtis Jones,eng ENG,MF,24,5,1,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,3.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.2,0.02,0.2,Matches,Liverpool
Alexander Isak,se SWE,FW,26,2,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,0.36,Matches,Liverpool
Jeremie Frimpong,nl NED,DF,24,3,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Liverpool
Andrew Robertson,sct SCO,DF,31,2,0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,3.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.11,0.35,0.46,0.11,0.46,Matches,Liverpool
Federico Chiesa,it ITA,"FW,MF",27,5,0,68.0,0.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,2.0,2.0,4.0,2.65,0.0,2.65,2.65,2.65,0.94,0.0,0.94,0.94,0.94,Matches,Liverpool
Wataru Endo,jp JPN,"MF,DF",32,3,0,34.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,0.0,2.65,2.65,0.0,2.65,0.0,0.29,0.29,0.0,0.29,Matches,Liverpool
Joe Gomez,eng ENG,DF,28,2,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
Rio Ngumoha,eng ENG,"FW,MF",17,3,0,12.0,0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,4.0,0.0,7.0,7.5,0.0,7.5,7.5,7.5,2.66,0.53,3.19,2.66,3.19,Matches,Liverpool
Harvey Elliott,eng ENG,"MF,FW",22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
Giovanni Leoni,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Giorgi Mamardashvili,ge GEO,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Trey Nyoni,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Squad Total,,,27,6,66,540.0,6.0,12.0,8.0,20.0,11.0,1.0,1.0,13.0,0.0,9.0,8.2,6.9,15.2,148.0,292.0,290.0,2.0,1.33,3.33,1.83,3.17,1.5,1.15,2.65,1.37,2.53,,Liverpool
Opponent Total,,,27,6,66,540.0,6.0,7.0,5.0,12.0,7.0,0.0,0.0,12.0,2.0,6.9,6.9,5.4,12.3,78.0,148.0,143.0,1.17,0.83,2.0,1.17,2.0,1.15,0.91,2.06,1.15,2.06,,Liverpool
Gabriel Magalhães,br BRA,DF,27,6,6,540.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,5.0,26.0,1.0,0.17,0.0,0.17,0.17,0.17,0.08,0.0,0.08,0.08,0.08,Matches,Arsenal
David Raya,es ESP,GK,30,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Arsenal
Martín Zubimendi,es ESP,MF,26,6,6,530.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,4.0,27.0,6.0,0.34,0.0,0.34,0.34,0.34,0.05,0.09,0.14,0.05,0.14,Matches,Arsenal
Viktor Gyökeres,se SWE,FW,27,6,6,486.0,5.4,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.4,1.6,0.3,1.9,3.0,4.0,29.0,0.56,0.0,0.56,0.37,0.37,0.44,0.05,0.49,0.3,0.35,Matches,Arsenal
Riccardo Calafiori,it ITA,DF,23,6,6,450.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,0.5,2.2,13.0,21.0,22.0,0.2,0.4,0.6,0.2,0.6,0.33,0.1,0.43,0.33,0.43,Matches,Arsenal
Declan Rice,eng ENG,MF,26,6,5,465.0,5.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,1.2,12.0,31.0,8.0,0.0,0.39,0.39,0.0,0.39,0.03,0.21,0.24,0.03,0.24,Matches,Arsenal
Jurriën Timber,nl NED,DF,24,6,5,432.0,4.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.4,2.0,11.0,35.0,24.0,0.42,0.21,0.62,0.42,0.62,0.34,0.09,0.43,0.34,0.43,Matches,Arsenal
William Saliba,fr FRA,DF,24,5,4,319.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Arsenal
Noni Madueke,eng ENG,FW,23,5,4,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,18.0,9.0,44.0,0.0,0.0,0.0,0.0,0.0,0.09,0.25,0.34,0.09,0.34,Matches,Arsenal
Bukayo Saka,eng ENG,FW,24,4,3,256.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,17.0,4.0,36.0,0.35,0.0,0.35,0.35,0.35,0.13,0.08,0.21,0.13,0.21,Matches,Arsenal
Mikel Merino,es ESP,"MF,FW",29,5,3,233.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,5.0,9.0,8.0,0.39,0.0,0.39,0.39,0.39,0.07,0.04,0.11,0.07,0.11,Matches,Arsenal
Martin Ødegaard,no NOR,MF,26,5,3,174.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,9.0,21.0,4.0,0.0,0.52,0.52,0.0,0.52,0.07,0.19,0.26,0.07,0.26,Matches,Arsenal
Cristhian Mosquera,es ESP,DF,21,5,2,249.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Eberechi Eze,eng ENG,"FW,MF",27,4,2,234.0,2.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,1.3,8.0,14.0,16.0,0.0,0.77,0.77,0.0,0.77,0.22,0.27,0.49,0.22,0.49,Matches,Arsenal
